School,Conference,OSRS,DSRS,Adj ORtg,Adj DRtg
Duke,ACC,14.05,16.26,130.24,85.97
Auburn,SEC,17.94,11.63,130.71,89.21
Houston,Big 12,7.47,20.97,125.53,82.59
Florida,SEC,17.80,10.18,128.17,89.09
Alabama,SEC,24.71,1.25,127.91,92.51
Tennessee,SEC,6.37,18.49,121.24,85.26
Texas Tech,Big 12,13.58,10.32,127.75,92.78
Gonzaga,WCC,17.27,6.35,125.02,92.14
Maryland,Big Ten,12.54,10.99,120.82,88.54
Arizona,Big 12,16.13,6.99,124.52,91.89
Iowa State,Big 12,12.56,10.47,121.37,88.81
Michigan State,Big Ten,9.96,12.51,120.38,88.67
St. John's (NY),Big East,10.70,11.06,115.58,85.11
Illinois,Big Ten,17.06,4.64,123.46,93.58
Kentucky,SEC,17.80,3.81,125.97,95.92
Wisconsin,Big Ten,12.09,8.85,123.23,93.58
Kansas,Big 12,9.94,10.76,118.46,88.60
Purdue,Big Ten,10.70,9.98,126.38,96.86
Missouri,SEC,15.21,5.18,126.58,97.90
Michigan,Big Ten,11.63,8.53,118.14,90.33
Texas A&M,SEC,7.28,12.76,118.09,89.13
Brigham Young,Big 12,13.60,6.20,124.47,96.27
Baylor,Big 12,10.09,9.33,124.06,96.17
Louisville,ACC,10.74,8.55,119.72,92.54
UCLA,Big Ten,5.89,13.33,119.73,92.18
Marquette,Big East,9.83,9.05,119.65,92.84
Clemson,ACC,7.07,11.44,120.60,93.10
Mississippi,SEC,9.72,8.20,118.67,93.14
Connecticut,Big East,8.78,9.05,123.71,98.00
Saint Mary's (CA),WCC,1.47,16.26,117.19,90.31
Mississippi State,SEC,11.49,6.04,120.68,95.85
Oregon,Big Ten,9.03,8.45,118.32,93.57
Georgia,SEC,6.72,10.51,117.42,93.21
North Carolina,ACC,14.01,3.15,120.72,96.47
Arkansas,SEC,8.29,8.35,114.72,91.83
Creighton,Big East,8.23,8.12,119.12,95.54
Texas,SEC,10.19,5.99,119.83,96.97
Xavier,Big East,10.13,5.43,118.13,96.18
Oklahoma,SEC,10.63,4.79,120.68,98.83
Virginia Commonwealth,A-10,5.01,10.16,116.19,93.51
New Mexico,MWC,11.67,3.48,113.45,92.83
Vanderbilt,SEC,11.71,3.31,119.71,98.62
Utah State,MWC,11.34,3.12,122.77,101.70
Colorado State,MWC,6.07,7.83,117.45,96.91
San Diego State,MWC,1.59,12.18,111.05,90.83
UC San Diego,Big West,3.96,9.07,114.52,95.34
Memphis,AAC,9.40,3.20,114.45,96.73
Drake,MVC,-4.82,13.85,114.23,98.76
McNeese State,Southland,2.26,6.62,114.20,100.77
Liberty,CUSA,1.25,6.97,111.96,99.26
Yale,Ivy,5.20,1.58,113.76,103.98
Grand Canyon,WAC,5.31,0.50,107.66,100.21
High Point,Big South,5.84,-0.45,116.86,108.73
Lipscomb,A-Sun,1.05,4.01,111.53,103.62
Troy,Sun Belt,-1.67,5.27,106.70,101.06
Akron,MAC,8.43,-4.89,111.63,106.94
UNC Wilmington,CAA,1.18,1.13,110.95,107.24
Robert Morris,Horizon,0.50,-0.55,105.08,105.03
Wofford,Southern,-0.95,0.67,110.63,110.69
Omaha,Summit,2.04,-3.12,108.88,110.32
Montana,Big Sky,1.67,-2.82,109.20,110.78
Bryant,AEC,4.05,-5.73,103.71,106.35
Norfolk State,MEAC,-1.79,-1.84,104.92,110.11
SIU Edwardsville,OVC,-6.55,0.71,99.03,106.98
American,Patriot,-7.84,0.83,101.04,111.14
Mount St. Mary's,MAAC,-5.57,-2.23,97.50,108.74
Alabama State,SWAC,-4.58,-4.65,98.95,111.68
Saint Francis (PA),NEC,-5.74,-6.79,97.16,115.17
